Term,Definition,Link
Фу́нкция,"Фрагмент программного кода, к которому можно обратиться из другого места программы.",https://ru.wikipedia.org/wiki/Функция_(программирование)
Ме́тод,"Это функция или процедура, принадлежащая какому-то классу или объекту.",https://ru.wikipedia.org/wiki/Метод_(программирование)
Комбинаторное программирование,"Парадигма программирования, в которой при объявлении функций не используются промежуточные переменные, но составляются цепочки из функций.",https://ru.wikipedia.org/wiki/Бесточечное_программирование
Структу́рное программи́рование,"Парадигма программирования, в основе которой лежит представление программы в виде иерархической структуры блоков.
Концептуализирована в конце 1960-х — начале 1970-х годов на фундаменте теоремы Бёма — Якопини, математически обосновывающей возможность структурной организации программ, и работы Эдсгера Дейкстры «О вреде оператора goto» англ. Goto considered harmful.",https://ru.wikipedia.org/wiki/Структурное_программирование
Процеду́рное программи́рование,"Программирование на императивном языке, при котором последовательно выполняемые операторы можно собрать в подпрограммы, то есть более крупные целостные единицы кода, с помощью механизмов самого языка.",https://ru.wikipedia.org/wiki/Процедурное_программирование
Декларати́вное программи́рование,"Парадигма программирования, в которой задаётся спецификация решения задачи, то есть описывается ожидаемый результат, а не способ его получения.",https://ru.wikipedia.org/wiki/Декларативное_программирование
Квадратичное программирование,"Это процесс решения задачи оптимизации специального типа, а именно — задачи оптимизации минимизации или максимизации  квадратичной функции нескольких переменных при линейных ограничениях на эти переменные.  является частным случаем нелинейного программирования.",https://ru.wikipedia.org/wiki/Квадратичное_программирование
Функциона́льное программи́рование,"Парадигма программирования, в которой процесс вычисления трактуется как вычисление значений функций в математическом понимании последних в отличие от функций как подпрограмм в процедурном программировании.",https://ru.wikipedia.org/wiki/Функциональное_программирование
Выпуклое программирование,"Это подобласть математической оптимизации, которая изучает задачу минимизации выпуклых функций на выпуклых множествах.",https://ru.wikipedia.org/wiki/Выпуклое_программирование
Динамическое программирование,Способ решения сложных задач путём разбиения их на более простые подзадачи.,https://ru.wikipedia.org/wiki/Динамическое_программирование
Параметри́ческое программи́рование,"Подход к повышению уровня программирования, реализуемый созданием специализированных языков или расширений к существующим средствам программирования.",https://ru.wikipedia.org/wiki/Параметрическое_программирование_(ЧПУ)
Обобщённое программирование,"Парадигма программирования, заключающаяся в таком описании данных и алгоритмов, которое можно применять к различным типам данных, не меняя само это описание.",https://ru.wikipedia.org/wiki/Обобщённое_программирование
Мо́дульное программи́рование,"Организация программы как совокупности небольших независимых блоков, называемых модулями, структура и поведение которых подчиняются определённым правилам.",https://ru.wikipedia.org/wiki/Модульное_программирование
Асинхронное программирование,"Концепция программирования, которая заключается в том, что результат выполнения функции доступен не сразу, а через некоторое время в виде некоторого асинхронного нарушающего обычный порядок выполнения вызова.",https://ru.wikipedia.org/wiki/Асинхронное_программирование
Реактивное программирование,"Парадигма программирования, ориентированная на потоки данных и распространение изменений.",https://ru.wikipedia.org/wiki/Реактивное_программирование
Визуальное программирование,Способ создания программы для ЭВМ путём манипулирования графическими объектами вместо написания её текста.,https://ru.wikipedia.org/wiki/Визуальное_программирование
Грамотное программирование,"Концепция, методология программирования и документирования, в которой программа фактически пишется на естественном языке, а инструкции входят в неё в форме макроподстановок и кода на языках программирования.",https://ru.wikipedia.org/wiki/Грамотное_программирование
Автома́тное программи́рование,"Парадигма программирования, при использовании которой программа или её фрагмент осмысливается как модель какого-либо формального автомата.",https://ru.wikipedia.org/wiki/Автоматное_программирование
Класс,"В объектно-ориентированном программировании, модель для создания объектов определённого типа, описывающая их структуру набор полей и их начальное состояние и определяющая алгоритмы функции или методы для работы с этими объектами.",https://ru.wikipedia.org/wiki/Класс_(программирование)
Объе́кт,"Сущность в цифровом пространстве, обладающая состоянием и поведением, имеющая поля и методы.",https://ru.wikipedia.org/wiki/Объект_(программирование)
Интерфе́йс,"Структура программы/синтаксиса, определяющая отношение с объектами, объединенными только некоторым поведением.",https://ru.wikipedia.org/wiki/Интерфейс_(объектно-ориентированное_программирование)
Структура,"Композитный тип данных, инкапсулирующий без сокрытия набор значений различных типов.",https://ru.wikipedia.org/wiki/Структура_(язык_Си)
Метакласс,"В объектно-ориентированном программировании это класс, экземпляры которого в свою очередь являются классами.",https://ru.wikipedia.org/wiki/Метакласс
По́ле кла́сса,"Переменная, описание которой создает программист при создании класса.",https://ru.wikipedia.org/wiki/Поле_класса
Наследование,"Концепция объектно-ориентированного программирования, согласно которой абстрактный тип данных может наследовать данные и функциональность некоторого существующего типа, способствуя повторному использованию компонентов программного обеспечения.",https://ru.wikipedia.org/wiki/Наследование_(программирование)
Абстрактный класс,"Базовый класс, который не предполагает создания экземпляров.",https://ru.wikipedia.org/wiki/Абстрактный_класс
Параметрический полиморфизм,"Свойство семантики системы типов, позволяющее обрабатывать значения разных типов идентичным образом, то есть исполнять физически один и тот же код для данных разных типов.",https://ru.wikipedia.org/wiki/Параметрический_полиморфизм
Конструктор,"Специальный блок инструкций, вызываемый при создании объекта.",https://ru.wikipedia.org/wiki/Конструктор_(объектно-ориентированное_программирование)
Делегат,"Класс, который позволяет хранить в себе ссылку на метод с определённой сигнатурой порядком и типами принимаемых и типом возвращаемого значений произвольного класса.",https://ru.wikipedia.org/wiki/Делегат_(программирование)
Индексация,"Это механизм для доступа к компоненте массива данных посредством ссылки на массив и посредством одного или более выражений, значения которых определяют позицию компоненты массива.",https://ru.wikipedia.org/wiki/Индексация_(программирование)
Дестру́ктор,"Специальный метод класса, служащий для деинициализации объекта например освобождения памяти.",https://ru.wikipedia.org/wiki/Деструктор
Массив,"Структура данных, хранящая набор значений элементов массива, идентифицируемых по индексу или набору индексов, принимающих целые или приводимые к целым значения из некоторого заданного непрерывного диапазона.",https://ru.wikipedia.org/wiki/Массив_(тип_данных)
Спи́сок,"Это абстрактный тип данных, представляющий собой упорядоченный набор значений, в котором некоторое значение может встречаться более одного раза.",https://ru.wikipedia.org/wiki/Список_(информатика)
О́чередь,"Абстрактный тип данных с дисциплиной доступа к элементам «первый пришёл — первый вышел» FIFO, англ. first in, first out.",https://ru.wikipedia.org/wiki/Очередь_(программирование)
Стек,"Абстрактный тип данных, представляющий собой список элементов, организованных по принципу LIFO англ. last in — first out, «последним пришёл — первым вышел».",https://ru.wikipedia.org/wiki/Стек
Множество,"Тип и структура данных в информатике, которая является реализацией математического объекта множество.",https://ru.wikipedia.org/wiki/Множество_(тип_данных)
Мультимножество,"Модификация понятия множества, допускающая включение одного и того же элемента в совокупность по нескольку раз.",https://ru.wikipedia.org/wiki/Мультимножество
Перечисляемый тип,"В программировании тип данных, чьё множество значений представляет собой ограниченный список идентификаторов.",https://ru.wikipedia.org/wiki/Перечисляемый_тип
Указатель,"Переменная, диапазон значений которой состоит из адресов ячеек памяти или специального значения — нулевого адреса.",https://ru.wikipedia.org/wiki/Указатель_(тип_данных)
Запись,"Агрегатный тип данных, инкапсулирующий без сокрытия набор значений различных типов.",https://ru.wikipedia.org/wiki/Запись_(тип_данных)
Кортеж,Упорядоченный набор фиксированной длины.,https://ru.wikipedia.org/wiki/Кортеж_(информатика)
Структура,"Композитный тип данных, инкапсулирующий без сокрытия набор значений различных типов.",https://ru.wikipedia.org/wiki/Структура_(язык_Си)
Функциональный тип,"Тип переменной или параметра, значением которой или которого может быть функция; либо тип аргумента или возвращаемого значения функции высшего порядка, принимающей или возвращающей функцию.",https://ru.wikipedia.org/wiki/Функциональный_тип
Абстра́ктный тип да́нных,"Это математическая модель для типов данных, где тип данных определяется поведением семантикой с точки зрения пользователя данных, а именно в терминах возможных значений, возможных операций над данными этого типа и поведения этих операций.",https://ru.wikipedia.org/wiki/Абстрактный_тип_данных
"Примитивный (встроенный, базовый) тип","Тип данных, предоставляемый языком программирования как базовая встроенная единица языка.",https://ru.wikipedia.org/wiki/Примитивный_тип
Переменная типа,"Переменная, которая может принимать значение из множества типов данных.",https://ru.wikipedia.org/wiki/Переменная_типа
Символьный тип (Сhar),"Тип данных, предназначенный для хранения одного символа управляющего или печатного в определённой кодировке.",https://ru.wikipedia.org/wiki/Символьный_тип
Строковый тип,"Тип данных, значениями которого является произвольная последовательность строка символов алфавита.",https://ru.wikipedia.org/wiki/Строковый_тип
Конста́нта,"В программировании — способ адресации данных, изменение которых рассматриваемой программой не предполагается или запрещается.",https://ru.wikipedia.org/wiki/Константа_(программирование)
